Years;Alumbrado publico en construccion;Alumbrado Publico construidos;Alumbrado publico obsoletas;Gastos Totales Alumbrado Publico;Mantenimiento Alumbrado publico;Maquinaria comprada;Pago por tecnicos contratados;Tasa de alumbrado publico construccion;Tasa de alumbrado publico obsoletas
2022;4;85;0;4177.5;680;170;127.5;0.05;0.007
2023;4;89;0;4223.5;712;178;133.5;0.05;0.007
2024;4;93;0;4269.5;744;186;139.5;0.05;0.007
2025;4;97;0;4315.5;776;194;145.5;0.05;0.007
2026;5;101;0;5161.5;808;202;151.5;0.05;0.007
2027;5;106;0;5219;848;212;159;0.05;0.007
2028;5;111;0;5276.5;888;222;166.5;0.05;0.007
2029;5;116;0;5334;928;232;174;0.05;0.007
2030;6;121;0;6191.5;968;242;181.5;0.05;0.007
2031;6;127;0;6260.5;1016;254;190.5;0.05;0.007
2032;6;133;0;6329.5;1064;266;199.5;0.05;0.007
