Years;Pistas en construccion;Pistas construidas;Pistas obsoletas;Pistas asfaltadas;Monto Total Pistas;Cantidad de mano de obra persona;Cantidad de maquinas asfaltos;Cantidad de litros  de pintura;Cantidad de maquinarias total
2022;3;130;1;104;3600;31;41;62;52
2023;3;132;1;105;3600;31;42;63;52
2024;4;134;1;107;4800;32;42;64;53
2025;4;137;1;109;4800;32;43;65;54
2026;4;140;1;112;4800;33;44;67;56
2027;4;143;1;114;4800;34;45;68;57
2028;4;146;1;116;4800;34;46;69;58
2029;4;149;1;119;4800;35;47;71;59
2030;4;152;1;121;4800;36;48;72;60
2031;4;155;1;124;4800;37;49;74;62
2032;4;158;1;126;4800;37;50;75;63
