Years;Puentes en construccion;Puentes constuidos;Puentes obsoletos;Tasa Puentes Construccion;Tasa Puentes Obsoletos;Gastos Totales Puentes;Mantenimiento Puentes
2022;3;80;0;0.04;0.009;4560;960
2023;3;83;0;0.04;0.009;4596;996
2024;3;86;0;0.04;0.009;4632;1032
2025;3;89;0;0.04;0.009;4668;1068
2026;3;92;0;0.04;0.009;4704;1104
2027;3;95;0;0.04;0.009;4740;1140
2028;3;98;0;0.04;0.009;4776;1176
2029;4;101;0;0.04;0.009;6012;1212
2030;4;105;0;0.04;0.009;6060;1260
2031;4;109;0;0.04;0.009;6108;1308
2032;4;113;0;0.04;0.009;6156;1356
